race_id,Horse Name,first_start,num_horses,Num,Age,Gender,Barrier,race_distance,Career ROI,Best Fixed Odds,Dry Track Strike Rate,Wet Track Strike Rate,Average Prize Money,Career Place Strike Rate,Weight,Career Strike Rate,This Condition Strike Rate,This Condition Place Strike Rate,Jockey Last 100 Avg Horse Earnings,Jockey Last 100 Strike Rate,Jockey Last 100 Place Strike Rate,Trainer Last 100 Avg Horse Earnings,Trainer Last 100 Strike Rate,Trainer Last 100 Place Strike Rate,Last Start Margin,Finish Result (Updates after race),win_label,place_label
824362,Smart Fox,0,10,2,3,G,6,700.0,-100,4.0,-0.8097364489358985,-1.0,-0.029062219948027487,0.2109201456388703,0.1428571428571459,-0.9069760810680332,-0.8097364489358985,0.5091404308872751,-0.6038870578641569,-0.4166666666666665,-0.5,-0.3053810434307567,0.6470588235294117,0.3888888888888888,-1.0,0.0,1,1
824362,No Mean Feet,0,10,1,7,G,2,700.0,-100,7.6,-1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,-0.9691335262175362,-1.0,1.0,-0.5330773674017193,-0.16666666666666652,0.0625,-0.9117034753628629,-0.2811762762014751,0.41333145249816905,-0.8061674008810573,0.5000000000000568,0,1
824362,Dani Bella,1,10,9,3,F,3,700.0,0,101.0,0.9999999999999998,1.0,-0.3765050697182892,-0.9898440444281436,-0.9999999999999964,1.0,0.9999999999999998,-0.99,-0.9355781319017362,-0.8333333333333333,-0.875,-0.9289128653373396,-0.7647058823529413,-0.9999999999999998,-0.7767988252569751,2.000000000000057,0,1
824362,Carley Emily,0,10,4,4,M,9,700.0,-100,51.0,-0.03817970296900475,1.0,-0.6904148110091786,-0.9950345361341714,-0.1428571428571388,-0.02215722967741529,-0.03817970296900475,-0.9951908985148449,-0.9866127552580612,-0.4999999999999999,-0.875,-0.8889647637257581,-0.17647058823529438,-0.11111111111111094,-0.8795888399412629,2.25,0,0
824362,Sporty Spice,0,10,7,3,F,7,700.0,-100,6.0,-0.5537244861579432,1.0,0.2085224887086128,0.9443913436382552,-0.9999999999999964,-0.5297454880993602,-0.5537244861579432,0.9443869852666392,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,-0.9823788546255507,2.499999999999943,0,0
824362,Wildonbrook,0,10,8,3,F,4,700.0,-100,8.6,-0.03817970296900475,1.0,0.01408684560153439,0.3025883903727715,-0.9999999999999964,-0.02215722967741529,-0.03817970296900475,0.30253373019641083,-0.8795147973225509,-1.0,-1.0,-0.8472411909314395,-0.6470588235294119,-0.7222222222222221,-0.9823788546255507,2.750000000000057,0,0
824362,Dolcity,0,10,6,3,F,5,700.0,-100,9.2,-0.8097364489358985,-1.0,-0.28579338972900903,-0.3943037404836165,-0.9999999999999964,-0.9069760810680332,-0.8097364489358985,-0.9990486822446796,-0.8915429309231763,-0.9166666666666664,-0.8125,-0.7802512974597104,-0.058823529411764934,0.22222222222222232,-0.9676945668135096,3.999999999999943,0,0
824362,Famous Romance,0,10,3,5,M,1,700.0,-100,201.0,-1.0,-1.0,-1.0,-1.0,-0.1428571428571388,-1.0,-1.0,-1.0,-0.6944718154327071,-0.4999999999999999,-0.875,-0.9762360010925976,-1.0,-0.5555555555555554,1.0,4.5,0,0
824362,Phandieri,1,10,10,3,F,8,700.0,0,3.6,0.9999999999999998,1.0,-0.3765050697182892,-0.9898440444281436,-0.9999999999999964,1.0,0.9999999999999998,-0.99,-0.8887567530834835,-0.25,-0.125,-0.5947145588636985,0.2941176470588234,0.16666666666666696,-0.7767988252569751,5.000000000000057,0,0
824362,Smokin' Billi,0,10,5,5,M,10,700.0,-100,201.0,-0.03817970296900475,1.0,-0.7426118354100621,-0.9950345361341714,-0.1428571428571388,-0.02215722967741529,-0.03817970296900475,-0.9951908985148449,-1.0,-0.9166666666666664,-0.75,-1.0,-0.7305882352941178,-0.7244444444444442,-0.042584434654919234,10.5,0,0
819785,Master Splinter,0,12,1,4,G,10,900.0,529,5.5,1.0,-0.976370747425674,0.20338570510705867,0.2621694520822593,1.0,1.0000000000000004,1.0,0.19624312298899493,0.6949685534591197,0.9999999999999996,1.0,1.0,1.0,-0.06302720715288658,-1.0,0.0,1,1
819785,Stellina,0,12,5,6,M,7,900.0,85,21.5,0.07847810858103976,-0.976370747425674,-0.4625256827127675,0.18160081112884166,-0.1999999999999993,0.13665888356533107,0.07847810858103976,0.1198827876076456,-0.061844863731656215,-0.4285714285714288,0.05263157894736814,-1.0,-0.5294117647058825,-1.0,-1.0,3.0,0,1
819785,Sporting Image,0,12,3,6,G,8,900.0,-65,13.0,-0.9195164855171928,1.0,0.8341547486643277,0.7474345965557476,0.0,-0.5559090681501736,-0.9195164855171928,0.7052079469416292,0.32389937106918243,0.14285714285714235,0.7894736842105261,0.212341894234974,-0.9350550645386762,1.0,-0.9526315789473684,3.2500000000000284,0,1
819785,Fully Stoked,0,12,4,5,G,4,900.0,-15,9.0,-0.7434456756212666,1.0,0.9999999999999996,-0.5205956677372261,-0.1999999999999993,-0.4067545388158139,-0.7434456756212666,-0.509473964087976,-0.13312368972746325,0.4285714285714284,-0.7894736842105265,0.7271268057784912,-0.058823529411764934,-0.19688046327390274,-0.7105263157894737,3.75,0,0
819785,Kwazulu,0,12,6,6,M,3,900.0,0,81.0,-0.9195164855171928,-0.976370747425674,-0.9015655151559134,-0.2444112403834309,-0.3999999999999986,-0.7983267907715265,-0.9195164855171928,-0.2838775680967773,0.742138364779874,0.14285714285714235,0.5789473684210522,-0.9823434991974318,-1.0,-0.9553822479596612,0.21052631578947367,4.000000000000028,0,0
